w_c,nca,cca_fine_mod,cca_dens,cca_abs_cap ,cca_spec_gr,cca,cca_rep_perc,cfa_mean_part_size,cfa_nfa,cfa_rep_perc, nfa_nfa,age,ft
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,60,3.773584906
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,60,3.144654088
0.45,57.83,5.5,1114.15,14.23,1.92,6.42,10,0,0,0,45.68,60,3.176100629
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,14,2.601056604
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,14,3.287955975
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,14,3.148930818
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,14,1.041066038
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,14,1.538745283
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,14,2.642493711
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,28,3.048839623
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,28,3.066528302
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,28,2.406641509
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,28,2.465603774
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,28,3.778490566
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,28,3.564748428
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,60,3.560691824
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,60,3.427672956
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,60,3.341194969
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,60,3.459119497
