w_c,nca,cca_fine_mod,cca_dens,cca_abs_cap ,cca_spec_gr,cca,cca_rep_perc,cfa_mean_part_size,cfa_nfa,cfa_rep_perc, nfa_nfa,age,fc,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,0,0,0,45.68,28,23.17,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,0,0,0,45.68,28,23.30,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,0,0,0,45.68,60,25.46,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,0,0,0,45.68,60,28.39,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,0,0,0,45.68,60,34.00,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,0,0,0,45.68,60,34.63,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,0,0,0,45.68,60,28.27,,,,
0.44,44.98,5.50,1114.147,14.23,1.92,19.27,30,0,0,0,45.68,60,28.39,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,14,21.45,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,14,13.85,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,14,20.41,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,14,25.08,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,14,12.38,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,14,11.76,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,28,24.19,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,28,21.65,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,28,24.19,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,28,24.19,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,28,24.83,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,28,24.83,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,60,28.65,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,60,28.65,,,,
